|input
4526|They charge $6.00 for rice.
4528|My steak au poivre was one of the worst I've had.
4530|On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.
4532|The owner and staff are all Japanese as well and that adds to the entire ambiance.
4534|Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.
4536|Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.
4538|The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).
4540|From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.
4542|I will be going back and heartily recommend it!
4544|Would definitely visit again.
4546|Definitely worth the trip to Battery Park City!
4548|Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.
4550|The place was real empty but that was because this was the first Sunday they ever opened.
4552|This little place definitely exceeded my expectations and you sure get a lot of food for your money.
4554|Ambience is delightful, service impeccable.
4556|Service was excellent, and the AC worked very well too (thank God, it was hot!).
4558|Tasty but expensive.
4560|You get the sense that the people there care about their restaurant and about your experience and that is very nice.
4562|Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.
4564|so i thought why not change it up a bit.
4566|My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!
4568|Although be warned their dinner menu to sit and take out prices are different.
4570|The staff was accomodating, the food was absolutely delicious and the place is lovely.
4572|P.S. Please don't tell anyone in my family i eat there.
4574|my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.
4576|They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.
4578|To celebrate a birthday, three of us went to Mare anticipating great food.
4580|There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!
4582|I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
4584|I went to pams with my girlfriend, and i love it.
4586|But for whatever reason, prices are about twice as high.
4588|I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
4590|Great atmoshere and worth every bit.
4592|We had a most unpleasant experience at this restaurant.
4594|The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!
4596|The staff was knowledgeable and full of personality.
4598|Great staff.
4600|Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!
4602|To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.
4604|The banana tower is an amazing dessert as well.
4606|I went there with my friend last saturday.
4608|Excellent atmosphere, delicious dishes good and friendly service.
4610|A cool place to hang with your friends for a couple of healthy drinks and desserts.
4612|Great vibe, lots of people.
4614|I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.
4616|Just an odd group.
4618|The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.
4620|Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.
4622|I love this place!
4624|it is not consistent.
4626|But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
4628|Great food and the prices are very reasonable.
4630|Wine list is not huge but def well selected.
4632|A cool bar with great food, and tons of excellent beer.
4634|Be sure to try the seasonal, and always delicious, specials.
4636|The ambience is authentic and relaxing and we have always received attentive and prompt service.
4638|Fresh, authentic, french cuisine in substantial portions.
4640|Drinks got screwed up, she acted put upon.
4642|The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
4644|At 5 dumplings for $1, you just cannot go wrong.
4646|But the pizza is way to expensive.
4648|And the staff is also young, energeic and hot!!!!
4650|Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it.
